Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
Solve for x: 3x + (2) = -10,-8,-2,-1,-4,D,"3x = -10 - (2) = -12, so x = -12/3 = -4.",Math / Mathematics,Equations
What is 1/8 + 1/5 (in simplest form)?,12/41,13/40,15/40,12/39,B,1/8 + 1/5 = 13/40 = 13/40 in simplest form.,Math / Mathematics,Fractions
What is 8458 + 3126?,11564,11579,11584,11594,C,8458 + 3126 = 11584.,Math / Mathematics,Addition
Which symbol correctly compares -328 and -87? (-328 ___ -87),<,=,≥,>,A,-328 < -87.,Math / Mathematics,Comparison
What is 3/5 + 1/3 (in simplest form)?,14/15,13/15,12/14,15/16,A,3/5 + 1/3 = 14/15 = 14/15 in simplest form.,Math / Mathematics,Fractions
Solve for x: 5x + (-49) = -54,1,-3,-1,0,C,"5x = -54 - (-49) = -5, so x = -5/5 = -1.",Math / Mathematics,Equations
Which symbol correctly compares 19 and -304? (19 ___ -304),>,=,<,≥,A,19 > -304.,Math / Mathematics,Comparison
Which symbol correctly compares 204 and 1? (204 ___ 1),>,<,=,≥,A,204 > 1.,Math / Mathematics,Comparison
What is 3703 - 337?,3371,3366,3367,3361,B,3703 - 337 = 3366.,Math / Mathematics,Subtraction
Solve for x: 8x + (47) = -97,-16,-20,-22,-18,D,"8x = -97 - (47) = -144, so x = -144/8 = -18.",Math / Mathematics,Equations
What is 2176 - 749?,1447,1427,1407,1426,B,2176 - 749 = 1427.,Math / Mathematics,Subtraction
What is 7380 + 6420?,13810,13800,13802,13780,B,7380 + 6420 = 13800.,Math / Mathematics,Addition
Solve for x: 9x + (-7) = 56,3,7,4,9,B,"9x = 56 - (-7) = 63, so x = 63/9 = 7.",Math / Mathematics,Equations
What is 2511 - 472?,2039,2029,2049,2034,A,2511 - 472 = 2039.,Math / Mathematics,Subtraction
What is 20% of 1020?,214,184,204,224,C,20% of 1020 = (20/100) × 1020 = 204.,Math / Mathematics,Percentage
What is 3114 - 176?,2943,2948,2938,2939,C,3114 - 176 = 2938.,Math / Mathematics,Subtraction
What is 90.26 + 134.11?,224.37,226.37,223.87,222.37,A,90.26 + 134.11 = 224.37.,Math / Mathematics,Decimals
What is 195.35 - 49.17?,146.18,144.18,146.68,145.68,A,195.35 - 49.17 = 146.18.,Math / Mathematics,Decimals
What is 5% of 180?,6.0,19,9,4,C,5% of 180 = (5/100) × 180 = 9.,Math / Mathematics,Percentage
What is 7175 ÷ 41?,175,179,170,174,A,"7175 ÷ 41 = 175, since 41 × 175 = 7175.",Math / Mathematics,Division
What is 105.23 + 54.4?,158.63,159.63,159.13,159.73,B,105.23 + 54.4 = 159.63.,Math / Mathematics,Decimals
What is 24 × 85?,2040,2041,2039,2030,A,24 × 85 = 2040.,Math / Mathematics,Multiplication
What is 4357 + 4577?,8939,8932,8934,8944,C,4357 + 4577 = 8934.,Math / Mathematics,Addition
What is 1848 ÷ 24?,82,78,77,76,C,"1848 ÷ 24 = 77, since 24 × 77 = 1848.",Math / Mathematics,Division
What is 7445 - 3230?,4195,4215,4213,4235,B,7445 - 3230 = 4215.,Math / Mathematics,Subtraction
What is 5468 - 1138?,4330,4335,4310,4331,A,5468 - 1138 = 4330.,Math / Mathematics,Subtraction
Which symbol correctly compares -281 and 485? (-281 ___ 485),=,<,>,≥,B,-281 < 485.,Math / Mathematics,Comparison
What is 79 + 338?,418,417,397,416,B,79 + 338 = 417.,Math / Mathematics,Addition
What is 2/4 + 4/11 (in simplest form)?,19/22,20/22,18/21,21/22,A,2/4 + 4/11 = 19/22 = 19/22 in simplest form.,Math / Mathematics,Fractions
What is 5143 - 1111?,4032,4022,4034,4012,A,5143 - 1111 = 4032.,Math / Mathematics,Subtraction
What is 75% of 770?,568,588,578,558,C,75% of 770 = (75/100) × 770 = 578.,Math / Mathematics,Percentage
What is 40% of 370?,143,153,148,138,C,40% of 370 = (40/100) × 370 = 148.,Math / Mathematics,Percentage
Solve for x: 3x + (36) = 48,4,6,2,5,A,"3x = 48 - (36) = 12, so x = 12/3 = 4.",Math / Mathematics,Equations
Which symbol correctly compares 343 and 480? (343 ___ 480),<,≥,>,=,A,343 < 480.,Math / Mathematics,Comparison
Which symbol correctly compares -352 and 286? (-352 ___ 286),=,>,<,≥,C,-352 < 286.,Math / Mathematics,Comparison
What is 2830 + 1472?,4292,4301,4302,4300,C,2830 + 1472 = 4302.,Math / Mathematics,Addition
What is 100.2 - 18.94?,81.76,80.26,83.26,81.26,D,100.2 - 18.94 = 81.26.,Math / Mathematics,Decimals
Solve for x: 12x + (-11) = -143,-11,-12,-8,-7,A,"12x = -143 - (-11) = -132, so x = -132/12 = -11.",Math / Mathematics,Equations
What is 90 × 26?,2339,2340,2314,2366,B,90 × 26 = 2340.,Math / Mathematics,Multiplication
Which symbol correctly compares 49 and 124? (49 ___ 124),≥,=,>,<,D,49 < 124.,Math / Mathematics,Comparison
What is 6/10 + 6/4 (in simplest form)?,23/11,21/10,22/10,23/9,B,6/10 + 6/4 = 21/10 = 21/10 in simplest form.,Math / Mathematics,Fractions
What is 270 ÷ 5?,54,50,55,52,A,"270 ÷ 5 = 54, since 5 × 54 = 270.",Math / Mathematics,Division
Solve for x: 10x + (-9) = 1,3,1,0,2,B,"10x = 1 - (-9) = 10, so x = 10/10 = 1.",Math / Mathematics,Equations
What is 2647 - 2235?,392,432,412,417,C,2647 - 2235 = 412.,Math / Mathematics,Subtraction
What is 5% of 170?,23,8,28,14.0,B,5% of 170 = (5/100) × 170 = 8.,Math / Mathematics,Percentage
What is 261 ÷ 3?,91,87,85,92,B,"261 ÷ 3 = 87, since 3 × 87 = 261.",Math / Mathematics,Division
What is 22 × 40?,870,880,890,879,B,22 × 40 = 880.,Math / Mathematics,Multiplication
What is 7/4 + 7/7 (in simplest form)?,11/4,12/6,10/6,13/6,A,7/4 + 7/7 = 11/4 = 11/4 in simplest form.,Math / Mathematics,Fractions
Which symbol correctly compares 475 and 363? (475 ___ 363),>,=,≥,<,A,475 > 363.,Math / Mathematics,Comparison
What is 5% of 230?,7,27,12,32,C,5% of 230 = (5/100) × 230 = 12.,Math / Mathematics,Percentage
What is 30% of 1660?,483,478,503,498,D,30% of 1660 = (30/100) × 1660 = 498.,Math / Mathematics,Percentage
What is 14 × 24?,326,336,337,346,B,14 × 24 = 336.,Math / Mathematics,Multiplication
What is 7516 + 9838?,17349,17353,17354,17374,C,7516 + 9838 = 17354.,Math / Mathematics,Addition
Which symbol correctly compares 222 and -418? (222 ___ -418),≥,<,=,>,D,222 > -418.,Math / Mathematics,Comparison
What is 6/5 + 9/8 (in simplest form)?,95/40,92/40,93/40,91/41,C,6/5 + 9/8 = 93/40 = 93/40 in simplest form.,Math / Mathematics,Fractions
What is 40% of 1450?,565,600,580,595,C,40% of 1450 = (40/100) × 1450 = 580.,Math / Mathematics,Percentage
What is 3436 - 3279?,157,177,147,155,A,3436 - 3279 = 157.,Math / Mathematics,Subtraction
Solve for x: 3x + (-34) = 2,14,15,12,10,C,"3x = 2 - (-34) = 36, so x = 36/3 = 12.",Math / Mathematics,Equations
What is 2277 ÷ 33?,65,71,69,73,C,"2277 ÷ 33 = 69, since 33 × 69 = 2277.",Math / Mathematics,Division
Solve for x: 3x + (-27) = -54,-9,-13,-6,-5,A,"3x = -54 - (-27) = -27, so x = -27/3 = -9.",Math / Mathematics,Equations
What is 173.59 - 47.76?,125.33,125.83,125.93,126.83,B,173.59 - 47.76 = 125.83.,Math / Mathematics,Decimals
Solve for x: 5x + (-42) = 33,15,17,11,14,A,"5x = 33 - (-42) = 75, so x = 75/5 = 15.",Math / Mathematics,Equations
What is 65 × 64?,4150,4160,4096,4225,B,65 × 64 = 4160.,Math / Mathematics,Multiplication
What is 2/5 + 3/8 (in simplest form)?,32/40,33/40,30/40,31/40,D,2/5 + 3/8 = 31/40 = 31/40 in simplest form.,Math / Mathematics,Fractions
Which symbol correctly compares 386 and 407? (386 ___ 407),=,<,≥,>,B,386 < 407.,Math / Mathematics,Comparison
What is 153.61 - 38.1?,113.51,116.51,115.51,115.61,C,153.61 - 38.1 = 115.51.,Math / Mathematics,Decimals
What is 8508 + 9207?,17720,17714,17735,17715,D,8508 + 9207 = 17715.,Math / Mathematics,Addition
What is 5/8 + 9/6 (in simplest form)?,18/7,19/10,17/8,15/8,C,5/8 + 9/6 = 17/8 = 17/8 in simplest form.,Math / Mathematics,Fractions
What is 116.3 + 137.29?,254.59,252.59,253.09,253.59,D,116.3 + 137.29 = 253.59.,Math / Mathematics,Decimals
What is 8211 - 5736?,2476,2485,2455,2475,D,8211 - 5736 = 2475.,Math / Mathematics,Subtraction
What is 2365 - 1179?,1187,1186,1166,1184,B,2365 - 1179 = 1186.,Math / Mathematics,Subtraction
What is 40.26 - 14.9?,25.36,26.36,27.36,25.46,A,40.26 - 14.9 = 25.36.,Math / Mathematics,Decimals
What is 35 × 97?,3394,3360,3395,3397,C,35 × 97 = 3395.,Math / Mathematics,Multiplication
What is 2420 ÷ 22?,111,110,107,109,B,"2420 ÷ 22 = 110, since 22 × 110 = 2420.",Math / Mathematics,Division
What is 9191 - 717?,8473,8472,8484,8474,D,9191 - 717 = 8474.,Math / Mathematics,Subtraction
Solve for x: 3x + (-13) = -22,-3,-6,-1,-2,A,"3x = -22 - (-13) = -9, so x = -9/3 = -3.",Math / Mathematics,Equations
Which symbol correctly compares -280 and 323? (-280 ___ 323),≥,=,>,<,D,-280 < 323.,Math / Mathematics,Comparison
What is 1786 - 1779?,7,12,6,17,A,1786 - 1779 = 7.,Math / Mathematics,Subtraction
What is 1221 ÷ 11?,110,111,109,114,B,"1221 ÷ 11 = 111, since 11 × 111 = 1221.",Math / Mathematics,Division
What is 14 × 23?,321,320,308,322,D,14 × 23 = 322.,Math / Mathematics,Multiplication
What is 4188 + 4143?,8341,8331,8311,8329,B,4188 + 4143 = 8331.,Math / Mathematics,Addition
What is 5429 - 1601?,3818,3808,3826,3828,D,5429 - 1601 = 3828.,Math / Mathematics,Subtraction
What is 70% of 490?,353,328,343,358,C,70% of 490 = (70/100) × 490 = 343.,Math / Mathematics,Percentage
What is 182.28 - 94.82?,87.96,87.46,87.36,85.46,B,182.28 - 94.82 = 87.46.,Math / Mathematics,Decimals
What is 40% of 260?,114,84,94,104,D,40% of 260 = (40/100) × 260 = 104.,Math / Mathematics,Percentage
What is 8/12 + 8/9 (in simplest form)?,14/9,13/8,12/11,15/9,A,8/12 + 8/9 = 14/9 = 14/9 in simplest form.,Math / Mathematics,Fractions
What is 1210 ÷ 10?,123,121,116,125,B,"1210 ÷ 10 = 121, since 10 × 121 = 1210.",Math / Mathematics,Division
What is 5/3 + 3/10 (in simplest form)?,59/30,60/31,61/29,58/30,A,5/3 + 3/10 = 59/30 = 59/30 in simplest form.,Math / Mathematics,Fractions
Solve for x: 8x + (22) = -138,-20,-17,-21,-24,A,"8x = -138 - (22) = -160, so x = -160/8 = -20.",Math / Mathematics,Equations
What is 19 × 57?,1083,1073,1084,1026,A,19 × 57 = 1083.,Math / Mathematics,Multiplication
What is 2168 - 1692?,481,466,476,496,C,2168 - 1692 = 476.,Math / Mathematics,Subtraction
Which symbol correctly compares -188 and -335? (-188 ___ -335),=,≥,<,>,D,-188 > -335.,Math / Mathematics,Comparison
What is 1/8 + 5/12 (in simplest form)?,13/24,11/24,11/23,14/25,A,1/8 + 5/12 = 13/24 = 13/24 in simplest form.,Math / Mathematics,Fractions
What is 37.83 + 196.35?,234.18,235.18,234.68,234.28,A,37.83 + 196.35 = 234.18.,Math / Mathematics,Decimals
Which symbol correctly compares -148 and 295? (-148 ___ 295),>,≥,=,<,D,-148 < 295.,Math / Mathematics,Comparison
What is 75% of 30?,27,22,17,12,B,75% of 30 = (75/100) × 30 = 22.,Math / Mathematics,Percentage
What is 3/6 + 5/4 (in simplest form)?,6/6,9/6,9/5,7/4,D,3/6 + 5/4 = 7/4 = 7/4 in simplest form.,Math / Mathematics,Fractions
Which symbol correctly compares 334 and 259? (334 ___ 259),=,>,<,≥,B,334 > 259.,Math / Mathematics,Comparison
What is 5622 - 147?,5475,5470,5477,5476,A,5622 - 147 = 5475.,Math / Mathematics,Subtraction
What is 29.26 + 32.95?,63.21,62.71,60.21,62.21,D,29.26 + 32.95 = 62.21.,Math / Mathematics,Decimals
What is 4370 ÷ 46?,95,91,98,93,A,"4370 ÷ 46 = 95, since 46 × 95 = 4370.",Math / Mathematics,Division
Which symbol correctly compares -166 and 442? (-166 ___ 442),>,<,=,≥,B,-166 < 442.,Math / Mathematics,Comparison
What is 80% of 920?,746,721,736,751,C,80% of 920 = (80/100) × 920 = 736.,Math / Mathematics,Percentage
What is 870 - 454?,416,426,411,414,A,870 - 454 = 416.,Math / Mathematics,Subtraction
What is 32 × 34?,1088,1056,1078,1090,A,32 × 34 = 1088.,Math / Mathematics,Multiplication
Which symbol correctly compares -447 and 319? (-447 ___ 319),≥,<,>,=,B,-447 < 319.,Math / Mathematics,Comparison
What is 860 ÷ 43?,22,20,23,16,B,"860 ÷ 43 = 20, since 43 × 20 = 860.",Math / Mathematics,Division
What is 786 ÷ 6?,132,131,134,135,B,"786 ÷ 6 = 131, since 6 × 131 = 786.",Math / Mathematics,Division
Which symbol correctly compares 242 and 135? (242 ___ 135),<,>,≥,=,B,242 > 135.,Math / Mathematics,Comparison
What is 9942 + 4302?,14245,14254,14244,14242,C,9942 + 4302 = 14244.,Math / Mathematics,Addition
What is 138.44 - 51.08?,87.46,85.36,87.36,88.36,C,138.44 - 51.08 = 87.36.,Math / Mathematics,Decimals
What is 640 ÷ 5?,125,128,124,127,B,"640 ÷ 5 = 128, since 5 × 128 = 640.",Math / Mathematics,Division
What is 6790 ÷ 35?,195,189,199,194,D,"6790 ÷ 35 = 194, since 35 × 194 = 6790.",Math / Mathematics,Division
What is 5/8 + 8/11 (in simplest form)?,121/89,119/88,117/89,121/90,B,5/8 + 8/11 = 119/88 = 119/88 in simplest form.,Math / Mathematics,Fractions
What is 3502 ÷ 34?,107,105,100,103,D,"3502 ÷ 34 = 103, since 34 × 103 = 3502.",Math / Mathematics,Division
What is 1440 ÷ 12?,125,120,124,121,B,"1440 ÷ 12 = 120, since 12 × 120 = 1440.",Math / Mathematics,Division
What is 5% of 660?,38,18,28,33,D,5% of 660 = (5/100) × 660 = 33.,Math / Mathematics,Percentage
What is 71.64 - 48.81?,21.83,23.83,22.83,23.33,C,71.64 - 48.81 = 22.83.,Math / Mathematics,Decimals
What is 3162 - 2086?,1075,1077,1076,1056,C,3162 - 2086 = 1076.,Math / Mathematics,Subtraction
Solve for x: 12x + (15) = -93,-9,-12,-10,-5,A,"12x = -93 - (15) = -108, so x = -108/12 = -9.",Math / Mathematics,Equations
Solve for x: 5x + (3) = 53,13,10,6,11,B,"5x = 53 - (3) = 50, so x = 50/5 = 10.",Math / Mathematics,Equations
What is 15% of 1090?,154,164,144,159,B,15% of 1090 = (15/100) × 1090 = 164.,Math / Mathematics,Percentage
What is 2/5 + 5/2 (in simplest form)?,29/10,31/12,27/10,28/10,A,2/5 + 5/2 = 29/10 = 29/10 in simplest form.,Math / Mathematics,Fractions
What is 1184 ÷ 37?,29,30,32,35,C,"1184 ÷ 37 = 32, since 37 × 32 = 1184.",Math / Mathematics,Division
What is 900 ÷ 18?,50,52,51,49,A,"900 ÷ 18 = 50, since 18 × 50 = 900.",Math / Mathematics,Division
What is 20 × 8?,140,160,159,162,B,20 × 8 = 160.,Math / Mathematics,Multiplication
What is 80% of 1970?,1566,1561,1591,1576,D,80% of 1970 = (80/100) × 1970 = 1576.,Math / Mathematics,Percentage
Which symbol correctly compares 455 and 269? (455 ___ 269),<,>,=,≥,B,455 > 269.,Math / Mathematics,Comparison
What is 3/9 + 3/6 (in simplest form)?,4/7,6/7,5/6,7/7,C,3/9 + 3/6 = 5/6 = 5/6 in simplest form.,Math / Mathematics,Fractions
Solve for x: 3x + (32) = 62,9,14,10,8,C,"3x = 62 - (32) = 30, so x = 30/3 = 10.",Math / Mathematics,Equations
What is 20.77 + 36.77?,58.04,57.04,57.54,55.54,C,20.77 + 36.77 = 57.54.,Math / Mathematics,Decimals
Solve for x: 4x + (-47) = -119,-14,-17,-22,-18,D,"4x = -119 - (-47) = -72, so x = -72/4 = -18.",Math / Mathematics,Equations
What is 15% of 1320?,198,213,178,188,A,15% of 1320 = (15/100) × 1320 = 198.,Math / Mathematics,Percentage
What is 61 × 63?,3833,3843,3842,3841,B,61 × 63 = 3843.,Math / Mathematics,Multiplication
What is 9257 + 6870?,16127,16128,16126,16132,A,9257 + 6870 = 16127.,Math / Mathematics,Addition
Solve for x: 3x + (-36) = -51,-8,-5,-2,-6,B,"3x = -51 - (-36) = -15, so x = -15/3 = -5.",Math / Mathematics,Equations
What is 3570 ÷ 35?,102,101,97,105,A,"3570 ÷ 35 = 102, since 35 × 102 = 3570.",Math / Mathematics,Division
What is 80% of 1580?,1244,1264,1254,1249,B,80% of 1580 = (80/100) × 1580 = 1264.,Math / Mathematics,Percentage
Solve for x: 4x + (34) = 90,10,14,11,15,B,"4x = 90 - (34) = 56, so x = 56/4 = 14.",Math / Mathematics,Equations
What is 60 × 61?,3660,3670,3600,3720,A,60 × 61 = 3660.,Math / Mathematics,Multiplication
What is 2200 - 863?,1336,1327,1339,1337,D,2200 - 863 = 1337.,Math / Mathematics,Subtraction
What is 30% of 940?,287,282,272,302,B,30% of 940 = (30/100) × 940 = 282.,Math / Mathematics,Percentage
What is 84.74 - 64.83?,19.81,20.91,17.91,19.91,D,84.74 - 64.83 = 19.91.,Math / Mathematics,Decimals
What is 3510 - 1163?,2367,2347,2342,2337,B,3510 - 1163 = 2347.,Math / Mathematics,Subtraction
What is 30% of 110?,33,13,38,48,A,30% of 110 = (30/100) × 110 = 33.,Math / Mathematics,Percentage
What is 1248 ÷ 16?,77,73,78,79,C,"1248 ÷ 16 = 78, since 16 × 78 = 1248.",Math / Mathematics,Division
What is 61 + 1022?,1103,1083,1085,1073,B,61 + 1022 = 1083.,Math / Mathematics,Addition
What is 30% of 1640?,472,492,482,487,B,30% of 1640 = (30/100) × 1640 = 492.,Math / Mathematics,Percentage
What is 50% of 1040?,510,505,520,540,C,50% of 1040 = (50/100) × 1040 = 520.,Math / Mathematics,Percentage
What is 7750 ÷ 50?,157,159,156,155,D,"7750 ÷ 50 = 155, since 50 × 155 = 7750.",Math / Mathematics,Division
What is 11 × 12?,133,132,121,134,B,11 × 12 = 132.,Math / Mathematics,Multiplication
What is 112.84 - 26.53?,86.81,84.31,85.31,86.31,D,112.84 - 26.53 = 86.31.,Math / Mathematics,Decimals
What is 22 × 67?,1407,1476,1474,1475,C,22 × 67 = 1474.,Math / Mathematics,Multiplication
What is 172.02 - 66.17?,106.35,106.85,105.85,105.95,C,172.02 - 66.17 = 105.85.,Math / Mathematics,Decimals
Which symbol correctly compares -299 and 176? (-299 ___ 176),≥,=,>,<,D,-299 < 176.,Math / Mathematics,Comparison
What is 70% of 1770?,1254,1239,1229,1249,B,70% of 1770 = (70/100) × 1770 = 1239.,Math / Mathematics,Percentage
What is 69 × 19?,1311,1309,1380,1292,A,69 × 19 = 1311.,Math / Mathematics,Multiplication
What is 90% of 1400?,1265,1250,1255,1260,D,90% of 1400 = (90/100) × 1400 = 1260.,Math / Mathematics,Percentage
Which symbol correctly compares -293 and -338? (-293 ___ -338),<,≥,=,>,D,-293 > -338.,Math / Mathematics,Comparison
What is 2964 ÷ 26?,117,114,118,119,B,"2964 ÷ 26 = 114, since 26 × 114 = 2964.",Math / Mathematics,Division
What is 264 ÷ 24?,15,10,7,11,D,"264 ÷ 24 = 11, since 24 × 11 = 264.",Math / Mathematics,Division
What is 5128 - 1222?,3906,3911,3886,3904,A,5128 - 1222 = 3906.,Math / Mathematics,Subtraction
What is 315 ÷ 3?,100,103,105,101,C,"315 ÷ 3 = 105, since 3 × 105 = 315.",Math / Mathematics,Division
What is 3908 - 2786?,1132,1124,1102,1122,D,3908 - 2786 = 1122.,Math / Mathematics,Subtraction
What is 3789 - 2909?,885,860,880,882,C,3789 - 2909 = 880.,Math / Mathematics,Subtraction
Solve for x: 4x + (-26) = -14,7,-1,0,3,D,"4x = -14 - (-26) = 12, so x = 12/4 = 3.",Math / Mathematics,Equations
What is 1/5 + 6/11 (in simplest form)?,42/56,41/55,42/54,39/55,B,1/5 + 6/11 = 41/55 = 41/55 in simplest form.,Math / Mathematics,Fractions
Which symbol correctly compares 442 and 71? (442 ___ 71),≥,>,=,<,B,442 > 71.,Math / Mathematics,Comparison
What is 49 × 28?,1400,1323,1372,1371,C,49 × 28 = 1372.,Math / Mathematics,Multiplication
Which symbol correctly compares 415 and -327? (415 ___ -327),<,>,≥,=,B,415 > -327.,Math / Mathematics,Comparison
What is 1893 + 8220?,10114,10118,10112,10113,D,1893 + 8220 = 10113.,Math / Mathematics,Addition
What is 170 ÷ 17?,12,10,8,11,B,"170 ÷ 17 = 10, since 17 × 10 = 170.",Math / Mathematics,Division
What is 8/12 + 5/11 (in simplest form)?,36/32,37/33,36/34,36/35,B,8/12 + 5/11 = 37/33 = 37/33 in simplest form.,Math / Mathematics,Fractions
Solve for x: 9x + (0) = -144,-14,-19,-15,-16,D,"9x = -144 - (0) = -144, so x = -144/9 = -16.",Math / Mathematics,Equations
What is 5% of 1730?,66,96,91,86,D,5% of 1730 = (5/100) × 1730 = 86.,Math / Mathematics,Percentage
What is 5/2 + 2/12 (in simplest form)?,8/3,6/5,10/3,7/4,A,5/2 + 2/12 = 8/3 = 8/3 in simplest form.,Math / Mathematics,Fractions
What is 4/12 + 6/2 (in simplest form)?,8/2,8/5,12/4,10/3,D,4/12 + 6/2 = 10/3 = 10/3 in simplest form.,Math / Mathematics,Fractions
Which symbol correctly compares -108 and 291? (-108 ___ 291),<,>,≥,=,A,-108 < 291.,Math / Mathematics,Comparison
What is 45 × 89?,3916,4005,4004,4003,B,45 × 89 = 4005.,Math / Mathematics,Multiplication
What is 60 × 56?,3360,3359,3362,3370,A,60 × 56 = 3360.,Math / Mathematics,Multiplication
What is 6/8 + 1/5 (in simplest form)?,20/20,18/21,18/19,19/20,D,6/8 + 1/5 = 19/20 = 19/20 in simplest form.,Math / Mathematics,Fractions
What is 5/5 + 6/6 (in simplest form)?,3/3,4/1,2/1,3/1,C,5/5 + 6/6 = 2 = 2/1 in simplest form.,Math / Mathematics,Fractions
What is 5% of 1440?,72,52,87,62,A,5% of 1440 = (5/100) × 1440 = 72.,Math / Mathematics,Percentage
What is 86 × 77?,6545,6621,6622,6536,C,86 × 77 = 6622.,Math / Mathematics,Multiplication
What is 7193 - 966?,6207,6226,6229,6227,D,7193 - 966 = 6227.,Math / Mathematics,Subtraction
What is 1260 ÷ 28?,44,45,41,42,B,"1260 ÷ 28 = 45, since 28 × 45 = 1260.",Math / Mathematics,Division
What is 8378 - 4478?,3902,3910,3900,3895,C,8378 - 4478 = 3900.,Math / Mathematics,Subtraction
What is 4159 - 3686?,478,468,463,473,D,4159 - 3686 = 473.,Math / Mathematics,Subtraction
What is 15% of 1770?,281,251,266,256,C,15% of 1770 = (15/100) × 1770 = 266.,Math / Mathematics,Percentage
What is 89.55 + 1.51?,91.06,90.06,90.96,91.16,A,89.55 + 1.51 = 91.06.,Math / Mathematics,Decimals
What is 1/3 + 1/8 (in simplest form)?,9/25,11/24,10/26,12/25,B,1/3 + 1/8 = 11/24 = 11/24 in simplest form.,Math / Mathematics,Fractions
What is 97 × 26?,2521,2496,2522,2532,C,97 × 26 = 2522.,Math / Mathematics,Multiplication
What is 8/5 + 9/12 (in simplest form)?,47/20,45/20,48/20,48/19,A,8/5 + 9/12 = 47/20 = 47/20 in simplest form.,Math / Mathematics,Fractions
What is 75% of 920?,690,685,680,695,A,75% of 920 = (75/100) × 920 = 690.,Math / Mathematics,Percentage
What is 1569 - 823?,751,745,726,746,D,1569 - 823 = 746.,Math / Mathematics,Subtraction
What is 11 × 65?,650,715,716,704,B,11 × 65 = 715.,Math / Mathematics,Multiplication
What is 30 × 74?,2219,2218,2220,2210,C,30 × 74 = 2220.,Math / Mathematics,Multiplication
Solve for x: 4x + (-29) = -81,-13,-9,-11,-17,A,"4x = -81 - (-29) = -52, so x = -52/4 = -13.",Math / Mathematics,Equations
What is 2856 - 2480?,375,371,374,376,D,2856 - 2480 = 376.,Math / Mathematics,Subtraction
What is 1152 ÷ 24?,46,43,48,47,C,"1152 ÷ 24 = 48, since 24 × 48 = 1152.",Math / Mathematics,Division
What is 3/2 + 9/11 (in simplest form)?,50/21,50/22,53/23,51/22,D,3/2 + 9/11 = 51/22 = 51/22 in simplest form.,Math / Mathematics,Fractions
Solve for x: 9x + (-18) = -54,-5,-4,0,-2,B,"9x = -54 - (-18) = -36, so x = -36/9 = -4.",Math / Mathematics,Equations
What is 212 + 248?,440,459,460,450,C,212 + 248 = 460.,Math / Mathematics,Addition
What is 10 ÷ 5?,6.0,5,3,2,D,"10 ÷ 5 = 2, since 5 × 2 = 10.",Math / Mathematics,Division
What is 5585 + 1876?,7459,7461,7460,7456,B,5585 + 1876 = 7461.,Math / Mathematics,Addition
What is 56.03 + 80.43?,136.46,136.56,138.46,136.36,A,56.03 + 80.43 = 136.46.,Math / Mathematics,Decimals
What is 27 × 10?,243,268,280,270,D,27 × 10 = 270.,Math / Mathematics,Multiplication
What is 720 ÷ 6?,119,118,116,120,D,"720 ÷ 6 = 120, since 6 × 120 = 720.",Math / Mathematics,Division
What is 8298 + 6094?,14390,14394,14392,14397,C,8298 + 6094 = 14392.,Math / Mathematics,Addition
What is 89 × 62?,5429,5520,5518,5508,C,89 × 62 = 5518.,Math / Mathematics,Multiplication
Solve for x: 2x + (-19) = -53,-14,-15,-19,-17,D,"2x = -53 - (-19) = -34, so x = -34/2 = -17.",Math / Mathematics,Equations
What is 122.49 + 79.75?,203.24,202.24,202.14,201.74,B,122.49 + 79.75 = 202.24.,Math / Mathematics,Decimals
Which symbol correctly compares -377 and -168? (-377 ___ -168),≥,=,<,>,C,-377 < -168.,Math / Mathematics,Comparison
Which symbol correctly compares -484 and 60? (-484 ___ 60),>,≥,=,<,D,-484 < 60.,Math / Mathematics,Comparison
What is 79.98 - 21.41?,60.57,59.07,56.57,58.57,D,79.98 - 21.41 = 58.57.,Math / Mathematics,Decimals
What is 86 × 27?,2295,2312,2320,2322,D,86 × 27 = 2322.,Math / Mathematics,Multiplication
Which symbol correctly compares -135 and -14? (-135 ___ -14),=,<,>,≥,B,-135 < -14.,Math / Mathematics,Comparison
What is 30% of 610?,203,193,183,163,C,30% of 610 = (30/100) × 610 = 183.,Math / Mathematics,Percentage
What is 60% of 700?,410,440,425,420,D,60% of 700 = (60/100) × 700 = 420.,Math / Mathematics,Percentage
Solve for x: 3x + (-23) = -29,-2,-5,-3,-4,A,"3x = -29 - (-23) = -6, so x = -6/3 = -2.",Math / Mathematics,Equations
What is 40% of 640?,261,236,256,276,C,40% of 640 = (40/100) × 640 = 256.,Math / Mathematics,Percentage
What is 82 × 18?,1466,1476,1475,1477,B,82 × 18 = 1476.,Math / Mathematics,Multiplication
What is 25% of 520?,125,130,120,145,B,25% of 520 = (25/100) × 520 = 130.,Math / Mathematics,Percentage
What is 272 + 9226?,9497,9518,9493,9498,D,272 + 9226 = 9498.,Math / Mathematics,Addition
What is 8903 - 8711?,193,190,192,191,C,8903 - 8711 = 192.,Math / Mathematics,Subtraction
What is 97 × 44?,4270,4171,4268,4258,C,97 × 44 = 4268.,Math / Mathematics,Multiplication
What is 93 × 18?,1692,1672,1674,1675,C,93 × 18 = 1674.,Math / Mathematics,Multiplication
What is 4276 + 3395?,7672,7671,7651,7669,B,4276 + 3395 = 7671.,Math / Mathematics,Addition
