Game Question No.,Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
4213,A vehicle covers 225 km at a speed of 45 km/h. How long does it take?,6,4,5,2,C,Distance = Speed × Time = 45 × 5 = 225 km. So the answer is 5 hours.,Aptitude,Time and Distance
4214,Which statement correctly describes semantic HTML?,an HTML tag used to control the layout and scaling of a web page on mobile devices,"the use of HTML elements that convey meaning about their content, such as <header>, <article>, and <footer>",commonly placed in the root directory of a website and linked in the HTML <head> section,"typically small, such as 16x16 or 32x32 pixels, designed to display clearly at small sizes",B,"By definition, semantic HTML is: the use of HTML elements that convey meaning about their content, such as <header>, <article>, and <footer>",Web Development,HTML
4215,What is the angle between the hour and minute hands of a clock at 4:25?,12.5°,17.5°,62.5°,37.5°,B,Angle = |30×hour − 5.5×minute| = |30×4 − 5.5×25| = 17.5° (taking the smaller angle).,Puzzles,Clock Puzzles
4216,"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 5 pawns, 2 knights, 1 bishop, 2 rooks?",24,25,21,27,A,Total value = 5×1 + 2×3 + 1×3 + 2×5 = 24.,Chess,Piece Values
4217,What is 7175 ÷ 41?,175,179,170,174,A,"7175 ÷ 41 = 175, since 41 × 175 = 7175.",Math / Mathematics,Division
4218,Which statement correctly describes the Sepoy Mutiny's alternate name?,the Queen of Jhansi who led a major role in the Indian Rebellion of 1857 against British rule,"the founder of the Maratha Empire, known for his military tactics and administration","India's second Prime Minister, known for the slogan 'Jai Jawan Jai Kisan'",also known as the Indian Rebellion of 1857 or the First War of Indian Independence,D,"By definition, the Sepoy Mutiny's alternate name is: also known as the Indian Rebellion of 1857 or the First War of Indian Independence",History,Indian History
4219,What is a compound?,the principle stating that mass is neither created nor destroyed in a chemical reaction,a substance formed when two or more elements chemically combine in fixed proportions,a chemical reaction involving the loss of electrons by a substance,the formation of a solid from a solution during a chemical reaction,B,a compound is: a substance formed when two or more elements chemically combine in fixed proportions,Science,Chemistry
4220,"Fill in the blank: ______ refers to ""a dwarf planet located in the Kuiper Belt, reclassified from a full planet by the IAU in 2006"".",Pluto,Venus's rotation,Europa's subsurface ocean,Ceres,A,"Pluto refers to: a dwarf planet located in the Kuiper Belt, reclassified from a full planet by the IAU in 2006",Space,Solar System
4221,"Fill in the blank: ______ refers to ""a form of Kannada devotional poetry written in prose-like verses, popularised by the Lingayat saints of the 12th century"".",Vachana literature,Kuvempu,Shivarama Karanth,Ponna,A,"Vachana literature refers to: a form of Kannada devotional poetry written in prose-like verses, popularised by the Lingayat saints of the 12th century",Kannada Subjects,Kannada Literature
4222,'rude' is a antonym of which word?,polite,permit,praise,brave,A,'rude' is opposite in meaning to 'polite'.,English Subjects,Antonyms
4223,Which statement correctly describes the anti-defection law?,the manipulation of electoral district boundaries to favour a particular political party or group,a law in India that disqualifies elected members who defect from their political party,"the highest judicial authority in India, responsible for interpreting the Constitution and delivering final judgments","a direct vote by citizens on a significant political question, such as territorial or constitutional changes",B,"By definition, the anti-defection law is: a law in India that disqualifies elected members who defect from their political party",Social Science,Civics
4224,What is an IDE (Integrated Development Environment)?,"a fixed, short period of time during which a specific set of work must be completed and reviewed","a software application that provides comprehensive tools for software development, including a code editor and debugger",testing conducted to ensure that new code changes have not adversely affected existing functionality,the practice of diverging from the main line of development to work independently without affecting it,B,"an IDE (Integrated Development Environment) is: a software application that provides comprehensive tools for software development, including a code editor and debugger",Software,Software Development
4225,How many Megabyte (MB)s is 20 Kilobyte (KB)(s) equal to?,0.00195312,0.0195312,0.195312,1.90735e-05,B,"1 Kilobyte (KB) = 1024^-1 Megabyte (MB)(s) (relative scale), so 20 Kilobyte (KB)(s) = 0.0195312 Megabyte (MB)(s).",Hardware,Storage Units
4226,Which statement correctly describes reinforcement learning from human feedback (RLHF)?,an AI technique that synthesises a person's voice based on samples of their speech,a technique used to fine-tune AI models based on human preferences and feedback,how accurately a model can understand and carry out the specific instructions given in a prompt,"software that uses generative AI to automatically produce written, visual, or audio content",B,"By definition, reinforcement learning from human feedback (RLHF) is: a technique used to fine-tune AI models based on human preferences and feedback",AI – Artificial Intelligence,Generative AI
4227,"A classifier has 171 true positives, 77 true negatives, 92 false positives, and 51 false negatives. What is its accuracy (rounded to 2 decimal places)?",0.48,0.93,0.78,0.63,D,Accuracy = (TP+TN)/(TP+TN+FP+FN) = (171+77)/(171+77+92+51) = 0.63.,ML – Machine Learning,Model Evaluation
4228,"Which term matches this description: ""the deepest known part of the world's oceans, located in the western Pacific Ocean""?",the Great Barrier Reef,Lake Baikal,the Mariana Trench,the Amazon Rainforest,C,"The description matches the Mariana Trench: the deepest known part of the world's oceans, located in the western Pacific Ocean",General Knowledge (GK),Geography
4229,A team needs 23 runs to win from 11.0 overs remaining. What is the required run rate (runs per over)?,2.09,0.09,1.09,2.59,A,Required run rate = Runs needed / Overs remaining = 23 / 11.0 ≈ 2.09.,Cricket,Scoring Calculations
4230,A quantity of 812 is decreased by 30%. What is the new value?,578,583,553,568,D,"30% of 812 = 244. Since it decreased, new value = 812 - 244 = 568.",Aptitude,Percentage
4231,What does HTTP status code 404 mean?,No Content — the request succeeded but there is no content to return,Request Timeout — the server timed out waiting for the request,Not Found — the requested resource could not be found on the server,Too Many Requests — the user has sent too many requests in a given time,C,HTTP 404: Not Found — the requested resource could not be found on the server.,Web Development,HTTP Status Codes
4232,"Find the next number in the sequence: 1331, 1728, 2197, 2744, ?",3365,3375,3405,3325,B,These are cubes of consecutive integers starting from 11. Next = 15³ = 3375.,Puzzles,Number Sequence
4233,"White has 1 knight, 1 bishop, 1 queen. Black has 1 pawn, 1 knight, 2 bishops, 1 queen. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 2 point(s),Black is ahead by 4 point(s),White is ahead by 1 point(s),Black is ahead by 1 point(s),B,"White's material = 15. Black's material = 19. Difference = 4, so Black is ahead by 4 point(s).",Chess,Piece Values
4234,What is 105.23 + 54.4?,158.63,159.63,159.13,159.73,B,105.23 + 54.4 = 159.63.,Math / Mathematics,Decimals
4235,Which statement correctly describes the Chipko Movement?,a nonviolent social and environmental movement in India in the 1970s to protect forests from deforestation,a British colonial policy allowing annexation of princely states without a natural heir,"held on 26 January 1950, marking the enforcement of the Constitution of India",a Maratha general and Peshwa known for his military campaigns and undefeated record in battle,A,"By definition, the Chipko Movement is: a nonviolent social and environmental movement in India in the 1970s to protect forests from deforestation",History,Indian History
4236,Which statement correctly describes biodiversity?,the natural process of recycling organic matter into a nutrient-rich soil conditioner,the variety of life in a particular habitat or ecosystem,"the contamination of water bodies, often due to industrial waste, sewage, or agricultural runoff","the large-scale removal of forests, often for agriculture or urban development",B,"By definition, biodiversity is: the variety of life in a particular habitat or ecosystem",Science,Environment
4237,What is a white dwarf?,a powerful explosion that occurs at the end of certain stars' life cycles,"the small, dense remnant core left behind after a star like the Sun exhausts its fuel","the maximum mass a stable white dwarf star can have, beyond which it collapses further","a small, relatively cool star that is the most common type of star in the Milky Way",B,"a white dwarf is: the small, dense remnant core left behind after a star like the Sun exhausts its fuel",Space,Stars
4238,"Fill in the blank: ______ refers to ""'ಗುರು' (guru) or 'ಶಿಕ್ಷಕ' (shikshaka), both used to refer to a teacher in Kannada"".",a Kannada karma (object),the Kannada word for 'teacher',Basavanna,typical Kannada sentence word order,B,"the Kannada word for 'teacher' refers to: 'ಗುರು' (guru) or 'ಶಿಕ್ಷಕ' (shikshaka), both used to refer to a teacher in Kannada",Kannada Subjects,Kannada Vocabulary Notes
4239,Which statement correctly describes a transitive verb?,"a verb that requires a direct object to complete its meaning, e.g. 'She reads a book.'","a word that names a person, place, thing, or idea","a word that shows the relationship between a noun/pronoun and other words in a sentence, such as in, on, or under","a word or phrase that expresses strong emotion, such as 'Wow!' or 'Ouch!'",A,"By definition, a transitive verb is: a verb that requires a direct object to complete its meaning, e.g. 'She reads a book.'",English Subjects,Parts of Speech
4240,Which statement correctly describes weather?,imaginary horizontal lines on Earth's surface used to measure distance north or south of the equator,the process of planting trees in an area where there was previously no forest,the short-term state of the atmosphere at a particular place and time,"the southernmost latitude at which the Sun can appear directly overhead, at approximately 23.5°S",C,"By definition, weather is: the short-term state of the atmosphere at a particular place and time",Social Science,Geography
4241,What is a database?,"a tool that automates the process of installing, upgrading, and managing software packages, such as npm or pip","software that is available for use at no cost, but not necessarily open-source",an organised collection of structured data stored electronically for easy access and management,a small piece of code released to fix bugs or security vulnerabilities in existing software,C,a database is: an organised collection of structured data stored electronically for easy access and management,Software,Software Basics
4242,How many Gigabyte (GB)s is 38 Petabyte (PB)(s) equal to?,39845.9,3.98459e+07,38912,3.98459e+10,B,"1 Petabyte (PB) = 1024^2 Gigabyte (GB)(s) (relative scale), so 38 Petabyte (PB)(s) = 3.98459e+07 Gigabyte (GB)(s).",Hardware,Storage Units
4243,Which statement correctly describes Yann LeCun?,"a computer scientist known for his contributions to deep learning, sharing the 2018 Turing Award","the co-founder and CEO of DeepMind, known for leading the development of AlphaGo",a computer scientist known for his foundational work on convolutional neural networks,first coined by John McCarthy in 1956 at the Dartmouth Conference,C,"By definition, Yann LeCun is: a computer scientist known for his foundational work on convolutional neural networks",AI – Artificial Intelligence,AI History
4244,A classifier has 70 true positives and 29 false negatives. What is its recall (rounded to 2 decimal places)?,0.41,0.86,0.81,0.71,D,Recall = TP / (TP + FN) = 70 / (70 + 29) = 0.71.,ML – Machine Learning,Model Evaluation
4245,Which statement correctly describes the theory of evolution?,a multi-sport event held every four years among members of the Commonwealth of Nations,a scientific theory proposed by Charles Darwin explaining how species change over time through natural selection,"Rajasthan, known for the Thar Desert and its rich cultural heritage","Orville and Wilbur Wright, American inventors credited with building and flying the first successful airplane",B,"By definition, the theory of evolution is: a scientific theory proposed by Charles Darwin explaining how species change over time through natural selection",General Knowledge (GK),Discoveries
4246,"Fill in the blank: ______ refers to ""a format of cricket in which each team bats for a maximum of 50 overs"".",a Test match,a four,One Day International (ODI) cricket,Sir Vivian Richards,C,One Day International (ODI) cricket refers to: a format of cricket in which each team bats for a maximum of 50 overs,Cricket,Formats
4247,Find the Simple Interest on ₹37620 at 8% per annum for 1 years.,2810,3060,2710,3010,D,SI = (P × R × T)/100 = (37620 × 8 × 1)/100 = ₹3010.,Aptitude,Simple Interest
4248,What is the :focus pseudo-class?,"a popular open-source CSS framework used to build responsive, mobile-first websites","a property that allows elements to be visually manipulated, such as rotated, scaled, or translated","a CSS selector that applies styles to an element when it has received focus, such as an input field being clicked","a concept describing how elements are structured with content, padding, border, and margin",C,"the :focus pseudo-class is: a CSS selector that applies styles to an element when it has received focus, such as an input field being clicked",Web Development,CSS
4249,"If A=1, B=2, C=3, ... Z=26, what is the sum of the letter values in the word 'BIT'?",34,36,29,31,D,B(2) + I(9) + T(20) = 31.,Puzzles,Coding-Decoding
4250,"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 1 rook, 1 queen?",18,14,13,10,B,Total value = 1×5 + 1×9 = 14.,Chess,Piece Values
4251,What is 24 × 85?,2040,2041,2039,2030,A,24 × 85 = 2040.,Math / Mathematics,Multiplication
4252,What is Cleopatra?,"an ancient Indian poet and playwright, celebrated as one of the greatest writers in Sanskrit literature",a Chinese dynasty known for expanding trade along the Silk Road and advancing science and culture,"the period following Alexander the Great's conquests, marked by the spread of Greek culture across Asia and Africa","the last active ruler of the Ptolemaic Kingdom of Egypt, known for her alliances with Roman leaders",D,"Cleopatra is: the last active ruler of the Ptolemaic Kingdom of Egypt, known for her alliances with Roman leaders",History,Ancient History
4253,What is the common name for the chemical compound with formula CH3COOH?,Hydrogen peroxide,Acetic acid (vinegar),Zinc oxide,Sodium chloride (table salt),B,CH3COOH is the chemical formula for Acetic acid (vinegar).,Science,Compounds
4254,"Fill in the blank: ______ refers to ""a satellite used to monitor Earth's weather and climate patterns"".",a communication satellite,a weather satellite,a geostationary orbit,a polar orbit,B,a weather satellite refers to: a satellite used to monitor Earth's weather and climate patterns,Space,Satellites
4255,Which statement correctly describes the Kannada word 'namaskara'?,"a common Kannada phrase meaning 'how are you', used respectfully","a phrase meaning 'fragrant Kannada', often used affectionately to refer to the beauty of the Kannada language","an abugida writing system used to write the Kannada language, derived from the ancient Brahmi script","a common Kannada greeting meaning 'hello' or 'salutations', used to greet someone respectfully",D,"By definition, the Kannada word 'namaskara' is: a common Kannada greeting meaning 'hello' or 'salutations', used to greet someone respectfully",Kannada Subjects,Kannada Language
4256,Which word is opposite in meaning to 'end'?,up,full,begin,agree,C,'begin' is opposite in meaning to 'end'.,English Subjects,Antonyms
4257,What is the anti-defection law?,the branch of government responsible for making laws,a law in India that disqualifies elected members who defect from their political party,a system of government in which power is divided between a central authority and constituent political units,the manipulation of electoral district boundaries to favour a particular political party or group,B,the anti-defection law is: a law in India that disqualifies elected members who defect from their political party,Social Science,Civics
4258,Which programming language was created by Niklaus Wirth?,COBOL,Scala,Pascal,Objective-C,C,Pascal was created by Niklaus Wirth.,Software,Programming Languages
4259,Which statement correctly describes a VGA port?,an older analog video connector used to connect monitors to computers,an input and output device that allows users to interact with a display by touching it directly,an output device used to produce a physical copy of digital documents or images,an expansion card that enables a computer to process and output audio signals,A,"By definition, a VGA port is: an older analog video connector used to connect monitors to computers",Hardware,Ports and Connectors
4260,What is robotics?,a technique that makes recommendations based on the preferences of similar users,"an NLP technique that assigns grammatical categories, such as noun or verb, to each word in a sentence","a field involving the design and creation of robots, often incorporating AI for perception and decision-making",an AI research and deployment company known for developing models such as GPT and DALL-E,C,"robotics is: a field involving the design and creation of robots, often incorporating AI for perception and decision-making",AI – Artificial Intelligence,AI Applications
4261,What is a bagging classifier?,an ensemble method that trains multiple instances of a model on different bootstrapped subsets of data and averages their predictions,a supervised learning algorithm that finds the optimal boundary (hyperplane) to separate data into classes,a commonly used kernel function in support vector machines that measures similarity based on distance,a measure of impurity or disorder used to determine the best splits when building a decision tree,A,a bagging classifier is: an ensemble method that trains multiple instances of a model on different bootstrapped subsets of data and averages their predictions,ML – Machine Learning,Classification
4262,A traveller lands in Brussels. Which country are they most likely visiting?,Belgium,Lebanon,North Korea,Kuwait,A,Brussels is the capital city of Belgium.,General Knowledge (GK),Countries and Capitals
4263,A team scores at a run rate of 4.15 runs per over for 37 overs. Approximately how many runs have they scored?,164,154,139,144,B,Runs ≈ Run rate × Overs = 4.15 × 37 ≈ 154 runs.,Cricket,Scoring Calculations
4264,"Find the average of these numbers: 51, 54, 92, 16, 65, 11, 82.",53,56,48,58,A,"Sum = 371, Count = 7, Average = 371/7 = 53.",Aptitude,Averages
4265,Which statement correctly describes web font loading?,"a symbol in a CSS selector that defines the relationship between multiple selectors, such as descendant or child",a design approach ensuring web pages render well across a variety of devices and screen sizes,"the process of downloading and displaying custom typefaces on a website, which can affect page load performance","a CSS selector that targets a single element with a specific ID attribute, denoted by a hash symbol",C,"By definition, web font loading is: the process of downloading and displaying custom typefaces on a website, which can affect page load performance",Web Development,CSS
4266,"In each row, the third number is the product of the first two: [5, 11, 55], [11, 13, 143], [2, 13, ?]. Find the missing number.",26,22,30,28,A,"Following the pattern, the missing number = 2 × 13 = 26.",Puzzles,Pattern Puzzle
4267,"In algebraic chess notation, is the square a2 a light or dark square?",depends on the piece,light,cannot be determined,dark,B,"Square a2: file a (position 1) and rank 2. Since their sum has the parity it does, a2 is a light square.",Chess,Notation
4268,What is 4357 + 4577?,8939,8932,8934,8944,C,4357 + 4577 = 8934.,Math / Mathematics,Addition
4269,What is the Punic Wars?,"one of the world's earliest civilisations, known for the pyramids, hieroglyphics, and pharaohs","the period following Alexander the Great's conquests, marked by the spread of Greek culture across Asia and Africa",a series of wars fought between ancient Rome and Carthage,"a major city of the ancient Indus Valley Civilisation, known for its advanced drainage systems",C,the Punic Wars is: a series of wars fought between ancient Rome and Carthage,History,Ancient History
4270,"Which term matches this description: ""an instrument used to measure atmospheric pressure""?",a telescope,resistance in an electrical circuit,a barometer,pressure,C,The description matches a barometer: an instrument used to measure atmospheric pressure,Science,Physics
4271,"Which term matches this description: ""an Indian-American astronaut who was the first woman of Indian origin to go to space""?",microgravity,the term 'zenith',Kalpana Chawla,a spacecraft's escape velocity,C,The description matches Kalpana Chawla: an Indian-American astronaut who was the first woman of Indian origin to go to space,Space,Astronauts
4272,"Fill in the blank: ______ refers to ""a traditional three-line verse form used in Kannada poetry, notably by the poet Sarvajna"".",Basavanna,Vachana literature,the term 'Kannada Sahitya',a Tripadi (in Kannada poetry),D,"a Tripadi (in Kannada poetry) refers to: a traditional three-line verse form used in Kannada poetry, notably by the poet Sarvajna",Kannada Subjects,Kannada Literature
4273,"Fill in the blank: ______ refers to ""a verb tense used for actions completed at an unspecified time before now, e.g. 'She has walked to school.'"".",the present continuous tense,the simple present tense,the present perfect tense,the past perfect tense,C,"the present perfect tense refers to: a verb tense used for actions completed at an unspecified time before now, e.g. 'She has walked to school.'",English Subjects,Tenses
4274,What is the capital of Andaman and Nicobar Islands?,Port Blair,Gangtok,Jaipur,Panaji,A,The capital of Andaman and Nicobar Islands is Port Blair.,Social Science,Indian States and Capitals
4275,"Which term matches this description: ""a linear data structure that follows the Last-In-First-Out (LIFO) principle""?",a flowchart,a stack (data structure),SQL (Structured Query Language),an exception in programming,B,The description matches a stack (data structure): a linear data structure that follows the Last-In-First-Out (LIFO) principle,Software,Programming
4276,"Which term matches this description: ""a powerful computer designed to provide services, resources, or data to other computers on a network""?",a docking station,a server (hardware),a graphics card's VRAM,a laptop battery,B,"The description matches a server (hardware): a powerful computer designed to provide services, resources, or data to other computers on a network",Hardware,Computer Components
4277,What is the Dartmouth Conference?,"a computer scientist known for his contributions to deep learning, sharing the 2018 Turing Award",an IBM chess-playing computer that defeated world champion Garry Kasparov in 1997,an AI program developed by DeepMind that defeated a world champion Go player in 2016,a 1956 workshop widely considered the founding event of artificial intelligence as a field,D,the Dartmouth Conference is: a 1956 workshop widely considered the founding event of artificial intelligence as a field,AI – Artificial Intelligence,AI History
4278,Which statement correctly describes oversampling (in ML)?,a technique used to address class imbalance by increasing the number of examples in the minority class,an individual measurable property or characteristic used as input to a machine learning model,a subset of AI that enables systems to learn patterns from data and improve performance without being explicitly programmed,the known output or target value associated with an input example in supervised learning,A,"By definition, oversampling (in ML) is: a technique used to address class imbalance by increasing the number of examples in the minority class",ML – Machine Learning,ML Basics
4279,What is the official currency of Bangladesh?,Zimbabwean Dollar,Mongolian Tögrög,Bangladeshi Taka,Omani Rial,C,The currency of Bangladesh is the Bangladeshi Taka.,General Knowledge (GK),Currencies
4280,A team scores at a run rate of 8.69 runs per over for 41 overs. Approximately how many runs have they scored?,356,346,366,376,A,Runs ≈ Run rate × Overs = 8.69 × 41 ≈ 356 runs.,Cricket,Scoring Calculations
4281,Find the Compound Interest on ₹10039 at 10% per annum for 2 years (compounded annually).,1958,2128,2108,2208,C,Amount = P(1+R/100)^T = 10039(1+10/100)^2 ≈ ₹12147. CI = Amount − P = ₹2108.,Aptitude,Compound Interest
4282,What is an HTML tag?,a keyword enclosed in angle brackets used to define the structure and elements of a web page,"the use of HTML elements that convey meaning about their content, such as <header>, <article>, and <footer>",an HTML element used to create hyperlinks to other web pages or resources,an HTML element that contains the visible content of a web page,A,an HTML tag is: a keyword enclosed in angle brackets used to define the structure and elements of a web page,Web Development,HTML
4283,"Which number is the odd one out: 19, 7, 16, 43?",19,7,16,43,C,16 is the odd one out because it is not a prime number; the rest are prime.,Puzzles,Odd One Out
4284,"Fill in the blank: ______ refers to ""a chess opening beginning with 1.e4 e6"".",the French Defence,an International Master (IM),Magnus Carlsen,the fifty-move rule,A,the French Defence refers to: a chess opening beginning with 1.e4 e6,Chess,Openings
4285,What is 1848 ÷ 24?,82,78,77,76,C,"1848 ÷ 24 = 77, since 24 × 77 = 1848.",Math / Mathematics,Division
4286,What is the Indo-Pakistani War of 1965?,"the last Viceroy of India, who oversaw the transfer of power and the partition in 1947","meaning 'complete self-rule', it was the resolution adopted by the Indian National Congress in 1929 demanding full independence",the chief architect of the Indian Constitution and a leader for social justice and rights of marginalised communities,a war fought between India and Pakistan primarily over the disputed region of Kashmir,D,the Indo-Pakistani War of 1965 is: a war fought between India and Pakistan primarily over the disputed region of Kashmir,History,Indian History
4287,Which statement correctly describes velocity?,"the principle stating that energy cannot be created or destroyed, only transformed from one form to another","the rate of change of an object's position with respect to time, in a specified direction",the force applied per unit area,"the flow of electric charge, usually carried by electrons through a conductor",B,"By definition, velocity is: the rate of change of an object's position with respect to time, in a specified direction",Science,Physics
4288,"Which term matches this description: ""a NASA space telescope designed to detect X-ray emissions from very hot regions of the universe""?",the Chandra X-ray Observatory,a reflecting telescope,a space telescope's advantage over ground telescopes,the Kepler Space Telescope,A,The description matches the Chandra X-ray Observatory: a NASA space telescope designed to detect X-ray emissions from very hot regions of the universe,Space,Telescopes
4289,What is the English meaning of the Kannada word 'ಸ್ನೇಹ'?,friendship,poem,clean,oil,A,'ಸ್ನೇಹ' means 'friendship' in English.,Kannada Subjects,Vocabulary
4290,What is the present continuous tense?,"a verb tense used to describe completed actions in the past, e.g. 'She walked to school.'","a verb tense used for actions that were ongoing in the past, e.g. 'She was walking to school.'","a verb tense used to describe habitual actions or general facts, e.g. 'She walks to school.'","a verb tense used for actions happening right now, e.g. 'She is walking to school.'",D,"the present continuous tense is: a verb tense used for actions happening right now, e.g. 'She is walking to school.'",English Subjects,Tenses
4291,What is proportional representation?,"an introductory statement outlining the guiding principles of the Constitution, including justice, liberty, equality, and fraternity","the right of all adult citizens to vote, regardless of gender, race, or social status",an electoral system in which parties gain seats in proportion to the number of votes they receive,"the highest judicial authority in India, responsible for interpreting the Constitution and delivering final judgments",C,proportional representation is: an electoral system in which parties gain seats in proportion to the number of votes they receive,Social Science,Civics
4292,What does the keyboard shortcut 'Ctrl+Home' typically do?,Open File Explorer (Windows),Paste copied content (macOS),Apply bold formatting to selected text,Move cursor to the beginning of a document,D,'Ctrl+Home' is used to move cursor to the beginning of a document.,Software,Keyboard Shortcuts
4293,How many Gigabyte (GB)s is 32 Kilobyte (KB)(s) equal to?,0.000305176,1.52588e-05,3.05176e-08,3.05176e-05,D,"1 Kilobyte (KB) = 1024^-2 Gigabyte (GB)(s) (relative scale), so 32 Kilobyte (KB)(s) = 3.05176e-05 Gigabyte (GB)(s).",Hardware,Storage Units
4294,"Fill in the blank: ______ refers to ""a configuration setting external to a model that governs the training process, such as learning rate"".",a hyperparameter,the attention mechanism,an open-weights AI model,Q-learning,A,"a hyperparameter refers to: a configuration setting external to a model that governs the training process, such as learning rate",AI – Artificial Intelligence,AI Basics
4295,A classifier has 175 true positives and 56 false negatives. What is its recall (rounded to 2 decimal places)?,0.96,0.46,0.61,0.76,D,Recall = TP / (TP + FN) = 175 / (175 + 56) = 0.76.,ML – Machine Learning,Model Evaluation
4296,A traveller lands in Taipei. Which country are they most likely visiting?,Peru,Chile,Russia,Taiwan,D,Taipei is the capital city of Taiwan.,General Knowledge (GK),Countries and Capitals
4297,Who were the champions of the ICC Cricket World Cup in 2023?,India,Australia,Sri Lanka,West Indies,B,Australia won the Cricket World Cup in 2023.,Cricket,World Cup History
4298,A vehicle covers 630 km in 6 hours. What is its speed?,105,110,108,107,A,Distance = Speed × Time = 105 × 6 = 630 km. So the answer is 105 km/h.,Aptitude,Time and Distance
4299,What is a class selector (in CSS)?,"a CSS selector that targets elements with a specific class attribute, denoted by a period","a CSS layout module designed to arrange items within a container efficiently, even with dynamic sizes","a CSS selector that applies styles to an element when it has received focus, such as an input field being clicked",a two-dimensional CSS layout system that allows for arranging content into rows and columns,A,"a class selector (in CSS) is: a CSS selector that targets elements with a specific class attribute, denoted by a period",Web Development,CSS
4300,"In each row, the third number is the sum of the first two: [15, 4, 19], [9, 7, 16], [14, 14, ?]. Find the missing number.",26,28,30,32,B,"Following the pattern, the missing number = 14 + 14 = 28.",Puzzles,Pattern Puzzle
4301,"White has 6 pawns, 1 knight, 1 bishop, 1 rook. Black has 3 pawns, 2 knights. Using standard piece values, who has the material advantage and by how many points?",White is ahead by 9 point(s),Black is ahead by 11 point(s),White is ahead by 8 point(s),Black is ahead by 5 point(s),C,"White's material = 17. Black's material = 9. Difference = 8, so White is ahead by 8 point(s).",Chess,Piece Values
4302,What is 7445 - 3230?,4195,4215,4213,4235,B,7445 - 3230 = 4215.,Math / Mathematics,Subtraction
4303,"Which term matches this description: ""one of the major cities of the ancient Indus Valley Civilisation, giving the civilisation its alternate name""?",the Indus Valley Civilisation,the Code of Hammurabi,Xuanzang,Harappa,D,"The description matches Harappa: one of the major cities of the ancient Indus Valley Civilisation, giving the civilisation its alternate name",History,Ancient History
4304,"Fill in the blank: ______ refers to ""the molecule that carries genetic instructions for the development and functioning of living organisms"".",the nucleus of a cell,camouflage,an ecosystem,DNA (Deoxyribonucleic Acid),D,DNA (Deoxyribonucleic Acid) refers to: the molecule that carries genetic instructions for the development and functioning of living organisms,Science,Biology
4305,"Fill in the blank: ______ refers to ""a form of matter that does not emit light but is inferred to exist due to its gravitational effects"".",a meteor,the term 'weightlessness',the term 'nadir',dark matter,D,dark matter refers to: a form of matter that does not emit light but is inferred to exist due to its gravitational effects,Space,Astronomy
4306,What is the English meaning of the Kannada word 'ಆಡುವುದು'?,thirty,cold weather,to play,carrot,C,'ಆಡುವುದು' means 'to play' in English.,Kannada Subjects,Verbs
4307,Choose the word that is similar in meaning to 'give':,discover,donate,incorrect,enjoy,B,'donate' is similar in meaning to 'give'.,English Subjects,Synonyms
4308,"Which Indian state/union territory has its capital at Lucknow, located in North India?",Tamil Nadu,Odisha,Assam,Uttar Pradesh,D,"Lucknow, the capital of Uttar Pradesh, is located in North India.",Social Science,Indian States and Capitals
4309,What is pair programming?,a type of performance testing that evaluates how a system behaves under expected user loads,a software development technique where two programmers work together at one workstation,any individual or group with an interest in or affected by a software project's outcome,the process of determining the needs and expectations of stakeholders for a new software system,B,pair programming is: a software development technique where two programmers work together at one workstation,Software,Software Development
4310,How many Bytes is 50 Kilobyte (KB)(s) equal to?,5120,5.12e+07,512000,51200,D,"1 Kilobyte (KB) = 1024^1 Byte(s) (relative scale), so 50 Kilobyte (KB)(s) = 51200 Byte(s).",Hardware,Storage Units
4311,What is existential risk from AI?,concerns raised by some researchers about the long-term potential dangers of highly advanced or misaligned AI systems,"a documented record of an event where an AI system caused or nearly caused harm, used to improve future safety",an attempt to manipulate an AI model into bypassing its built-in safety restrictions,"documentation describing an AI model's capabilities, limitations, and safety evaluations for a specific deployment",A,existential risk from AI is: concerns raised by some researchers about the long-term potential dangers of highly advanced or misaligned AI systems,AI – Artificial Intelligence,AI Ethics
4312,Which statement correctly describes undersampling (in ML)?,a technique for assessing how well a model generalises by partitioning data into multiple training and testing subsets,"a widely used benchmark dataset of handwritten digit images, commonly used to test image classification models","a classic, small dataset in machine learning containing measurements of iris flowers, often used to teach classification",a technique used to address class imbalance by reducing the number of examples in the majority class,D,"By definition, undersampling (in ML) is: a technique used to address class imbalance by reducing the number of examples in the majority class",ML – Machine Learning,ML Basics
4313,Morocco is located on which continent?,Oceania,Africa,Asia/Europe,Europe/Asia,B,Morocco is located in Africa.,General Knowledge (GK),Geography
4314,A team needs 199 runs to win from 17.1 overs remaining. What is the required run rate (runs per over)?,12.64,12.14,10.64,11.64,D,Required run rate = Runs needed / Overs remaining = 199 / 17.1 ≈ 11.64.,Cricket,Scoring Calculations
4315,"Two numbers are in the ratio 12:10. If their sum is 242, find the larger number.",132,147,135,117,A,Total parts = 12+10 = 22. Each part = 242/22 = 11. Larger number = 12 × 11 = 132.,Aptitude,Ratios
